match_id,team_x,team_y,team_x_score,team_y_score,score_difference,team_x_won,total_windows,team_x_momentum_wins,team_x_change_wins,team_x_relative_wins,team_x_momentum_rate,team_x_change_rate,team_x_relative_rate,perspective
3942226,Germany,Spain,2,1,1,1,122,58,57,56,0.47540983606557374,0.4672131147540984,0.45901639344262296,team_x_home
3942226,Spain,Germany,1,2,-1,0,122,64,65,66,0.5245901639344263,0.5327868852459017,0.5409836065573771,team_x_away
3942227,Switzerland,England,1,1,0,0,123,52,61,61,0.42276422764227645,0.4959349593495935,0.4959349593495935,team_x_home
3942227,England,Switzerland,1,1,0,0,123,71,62,62,0.5772357723577236,0.5040650406504065,0.5040650406504065,team_x_away
3942349,Portugal,France,0,0,0,0,123,59,56,56,0.4796747967479675,0.45528455284552843,0.45528455284552843,team_x_home
3942349,France,Portugal,0,0,0,0,123,64,67,67,0.5203252032520326,0.5447154471544715,0.5447154471544715,team_x_away
3942382,Netherlands,Turkey,2,1,1,1,92,61,50,50,0.6630434782608695,0.5434782608695652,0.5434782608695652,team_x_home
3942382,Turkey,Netherlands,1,2,-1,0,92,31,42,42,0.33695652173913043,0.45652173913043476,0.45652173913043476,team_x_away
3942752,France,Spain,2,1,1,1,91,53,46,46,0.5824175824175825,0.5054945054945055,0.5054945054945055,team_x_home
3942752,Spain,France,1,2,-1,0,91,38,45,45,0.4175824175824176,0.4945054945054945,0.4945054945054945,team_x_away
3942819,Netherlands,England,1,2,-1,0,91,21,50,50,0.23076923076923078,0.5494505494505495,0.5494505494505495,team_x_home
3942819,England,Netherlands,2,1,1,1,91,70,41,41,0.7692307692307693,0.45054945054945056,0.45054945054945056,team_x_away
3943043,England,Spain,2,1,1,1,90,31,48,48,0.34444444444444444,0.5333333333333333,0.5333333333333333,team_x_home
3943043,Spain,England,1,2,-1,0,90,59,42,42,0.6555555555555556,0.4666666666666667,0.4666666666666667,team_x_away
