event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
25844,3942227,1,0,55,00:00:55.354,Pass,Ezri Konsa Ngoyo,England,England,17.7,2.2,,1.751468,Regular Play,Jordan Pickford,33.94363,Low Pass,,2.0318089,2.6,32.6,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Carry,Ezri Konsa Ngoyo,England,0.0,54.0,Ball Receipt*,Jordan Pickford,England,True,102.3,False,False,False
25845,3942227,1,0,57,00:00:57.105,Ball Receipt*,Jordan Pickford,England,England,2.6,32.6,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Pass,Ezri Konsa Ngoyo,England,0.0,55.0,Carry,Jordan Pickford,England,True,117.4,False,False,False
25846,3942227,1,0,57,00:00:57.105,Carry,Jordan Pickford,England,England,2.6,32.6,True,1.852819,Regular Play,,,,,,,,,,,,False,5.3,41.0,8.823264701911643,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Jordan Pickford,England,0.0,57.0,Pressure,Breel-Donald Embolo,Switzerland,False,117.4,False,False,False
25847,3942227,1,0,57,00:00:57.512,Pressure,Breel-Donald Embolo,Switzerland,England,112.0,51.0,,1.441423,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,2,2,0,7,3,1,0,Carry,Jordan Pickford,England,0.0,57.0,Pass,Jordan Pickford,England,False,8.0,False,True,False
25848,3942227,1,0,58,00:00:58.958,Pass,Jordan Pickford,England,England,5.3,41.0,,2.034101,Regular Play,Kyle Walker,35.895405,Ground Pass,,1.323115,14.1,75.8,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Pressure,Breel-Donald Embolo,Switzerland,0.0,57.0,Ball Receipt*,Kyle Walker,England,True,114.7,False,False,True
25849,3942227,1,1,0,00:01:00.992,Ball Receipt*,Kyle Walker,England,England,14.1,75.8,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,4,2,0,0,Pass,Jordan Pickford,England,0.0,58.0,Carry,Kyle Walker,England,True,105.9,False,False,False
25850,3942227,1,1,0,00:01:00.992,Carry,Kyle Walker,England,England,14.1,75.8,,1.40471,Regular Play,,,,,,,,,,,,False,14.1,75.8,0.0,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Kyle Walker,England,1.0,0.0,Pass,Kyle Walker,England,True,105.9,False,False,False
25851,3942227,1,1,2,00:01:02.397,Pass,Kyle Walker,England,England,14.1,75.8,,0.214232,Regular Play,,2.1540658,Low Pass,Incomplete,-0.38050637,16.1,75.0,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,4,2,0,0,Carry,Kyle Walker,England,1.0,0.0,Block,Michel Aebischer,Switzerland,False,105.9,False,False,False
25852,3942227,1,1,2,00:01:02.611,Block,Michel Aebischer,Switzerland,England,104.0,5.1,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,2,2,0,7,3,1,0,Pass,Kyle Walker,England,1.0,2.0,Pass,Kyle Walker,England,False,16.0,False,True,False
25853,3942227,1,1,16,00:01:16.646,Pass,Kyle Walker,England,England,27.7,80.0,,1.087643,From Throw In,Phil Foden,18.300274,Low Pass,,-0.63803667,42.4,69.1,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,4,2,0,0,Block,Michel Aebischer,Switzerland,1.0,2.0,Ball Receipt*,Phil Foden,England,True,92.3,False,False,False
