event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovakia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
60496,3941017,1,0,38,00:00:38.612,Pass,Jordan Pickford,England,England,14.5,35.7,,1.423243,From Throw In,Marc Guehi,12.33572,Ground Pass,,-1.3749906,16.9,23.6,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,2,0,2,1,0,0,Ball Receipt*,Jordan Pickford,England,0.0,36.0,Ball Receipt*,Marc Guehi,England,True,105.5,False,False,False
60497,3941017,1,0,40,00:00:40.035,Ball Receipt*,Marc Guehi,England,England,16.9,23.6,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,2,0,2,1,0,0,Pass,Jordan Pickford,England,0.0,38.0,Carry,Marc Guehi,England,True,103.1,False,False,False
60498,3941017,1,0,40,00:00:40.035,Carry,Marc Guehi,England,England,16.9,23.6,,2.150888,From Throw In,,,,,,,,,,,,False,21.4,24.7,4.632493928760187,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,2,0,2,1,0,0,Ball Receipt*,Marc Guehi,England,0.0,40.0,Pass,Marc Guehi,England,True,103.1,False,False,False
60499,3941017,1,0,42,00:00:42.186,Pass,Marc Guehi,England,England,21.4,24.7,,1.637082,From Throw In,John Stones,26.400757,Ground Pass,,1.5783719,21.2,51.1,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,2,0,2,1,0,0,Carry,Marc Guehi,England,0.0,40.0,Ball Receipt*,John Stones,England,True,98.6,False,False,False
60500,3941017,1,0,43,00:00:43.823,Ball Receipt*,John Stones,England,England,21.2,51.1,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,2,0,2,1,0,0,Pass,Marc Guehi,England,0.0,42.0,Carry,John Stones,England,True,98.8,False,False,False
60501,3941017,1,0,43,00:00:43.823,Carry,John Stones,England,England,21.2,51.1,True,1.424464,From Throw In,,,,,,,,,,,,False,19.2,44.3,7.088018058667744,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,2,0,2,1,0,0,Ball Receipt*,John Stones,England,0.0,43.0,Pressure,Ondrej Duda,Slovakia,False,98.8,False,False,False
60502,3941017,1,0,45,00:00:45.047,Pressure,Ondrej Duda,Slovakia,England,97.9,32.4,,0.578662,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,1,1,3,3,1,0,Carry,John Stones,England,0.0,43.0,Pass,John Stones,England,False,22.099999999999994,False,True,False
60503,3941017,1,0,45,00:00:45.247,Pass,John Stones,England,England,19.2,44.3,True,2.213012,From Throw In,Marc Guehi,24.273853,Ground Pass,,-1.6905525,16.3,20.2,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,2,0,2,1,0,0,Pressure,Ondrej Duda,Slovakia,0.0,45.0,Ball Receipt*,Marc Guehi,England,True,100.8,False,False,True
60504,3941017,1,0,47,00:00:47.460,Ball Receipt*,Marc Guehi,England,England,16.3,20.2,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,2,0,2,1,0,0,Pass,John Stones,England,0.0,45.0,Carry,Marc Guehi,England,True,103.7,False,False,False
60505,3941017,1,0,47,00:00:47.460,Carry,Marc Guehi,England,England,16.3,20.2,,0.428664,From Throw In,,,,,,,,,,,,False,16.3,20.2,0.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,2,0,2,1,0,0,Ball Receipt*,Marc Guehi,England,0.0,47.0,Pass,Marc Guehi,England,True,103.7,False,False,False
