event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovenia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
141257,3930181,1,0,35,00:00:35.802,Pass,Marc Guehi,England,England,41.1,30.7,,1.012676,From Kick Off,Kieran Trippier,8.7,Ground Pass,,-0.76101273,47.4,24.7,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Carry,Marc Guehi,England,0.0,33.0,Ball Receipt*,Kieran Trippier,England,True,78.9,False,False,False
141258,3930181,1,0,36,00:00:36.814,Ball Receipt*,Kieran Trippier,England,England,47.4,24.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Marc Guehi,England,0.0,35.0,Carry,Kieran Trippier,England,True,72.6,False,False,False
141259,3930181,1,0,36,00:00:36.814,Carry,Kieran Trippier,England,England,47.4,24.7,,1.157889,From Kick Off,,,,,,,,,,,,False,51.9,14.4,11.24010676105881,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Kieran Trippier,England,0.0,36.0,Pass,Kieran Trippier,England,True,72.6,False,False,False
141260,3930181,1,0,37,00:00:37.972,Pass,Kieran Trippier,England,England,51.9,14.4,,0.53698,From Kick Off,Jude Bellingham,10.10198,Ground Pass,,-1.1958046,55.6,5.0,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Carry,Kieran Trippier,England,0.0,36.0,Ball Receipt*,Jude Bellingham,England,True,68.1,False,False,False
141261,3930181,1,0,38,00:00:38.509,Ball Receipt*,Jude Bellingham,England,England,55.6,5.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,1,0,2,1,1,0,Pass,Kieran Trippier,England,0.0,37.0,Carry,Jude Bellingham,England,True,64.4,False,False,False
141262,3930181,1,0,38,00:00:38.509,Carry,Jude Bellingham,England,England,55.6,5.0,True,3.051054,From Kick Off,,,,,,,,,,,,False,36.5,13.4,20.86552180032889,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,1,0,2,1,1,0,Ball Receipt*,Jude Bellingham,England,0.0,38.0,Pressure,Petar Stojanović,Slovenia,False,64.4,False,False,False
141263,3930181,1,0,40,00:00:40.687,Pressure,Petar Stojanović,Slovenia,England,76.9,67.0,,1.204677,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 12, 'name': 'Right Midfield'}",,0,0,0,0,2,0,2,2,0,0,Carry,Jude Bellingham,England,0.0,38.0,Pass,Jude Bellingham,England,False,43.099999999999994,False,False,False
141264,3930181,1,0,41,00:00:41.560,Pass,Jude Bellingham,England,England,36.5,13.4,True,2.621612,From Kick Off,Jordan Pickford,38.501167,Ground Pass,,2.2605462,12.0,43.1,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,1,0,2,1,1,0,Pressure,Petar Stojanović,Slovenia,0.0,40.0,Ball Receipt*,Jordan Pickford,England,True,83.5,False,False,True
141265,3930181,1,0,44,00:00:44.182,Ball Receipt*,Jordan Pickford,England,England,12.0,43.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Pass,Jude Bellingham,England,0.0,41.0,Carry,Jordan Pickford,England,True,108.0,False,False,False
141266,3930181,1,0,44,00:00:44.182,Carry,Jordan Pickford,England,England,12.0,43.1,,1.131997,From Kick Off,,,,,,,,,,,,False,14.2,46.2,3.8013155617496435,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Jordan Pickford,England,0.0,44.0,Pass,Jordan Pickford,England,True,108.0,False,False,False
