match_id,home_team,away_team,match_date,stage,period,period_name,minute,second,team,player,card_type,event_type,event_uuid
3941022,Austria,Turkey,2024-07-02,Round of 16,2,Period 2,51,43,"{'id': 915, 'name': 'Austria'}","{'id': 8931, 'name': 'Philipp Lienhart'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",2e3967a0-ddc9-4989-917d-b9f139d61d57
3941021,Romania,Netherlands,2024-07-02,Round of 16,2,Period 2,66,43,"{'id': 905, 'name': 'Romania'}","{'id': 30913, 'name': 'Marius Mihai Marin'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",51d2edd9-7531-4135-8a13-20824391755e
3941021,Romania,Netherlands,2024-07-02,Round of 16,2,Period 2,77,3,"{'id': 941, 'name': 'Netherlands'}","{'id': 8125, 'name': 'Denzel Dumfries'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941021,Romania,Netherlands,2024-07-02,Round of 16,2,Period 2,80,47,"{'id': 905, 'name': 'Romania'}","{'id': 10916, 'name': 'Nicolae Claudiu Stanciu'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941021,Romania,Netherlands,2024-07-02,Round of 16,2,Period 2,94,15,"{'id': 941, 'name': 'Netherlands'}","{'id': 15582, 'name': 'Donyell Malen'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941020,Portugal,Slovenia,2024-07-01,Round of 16,1,Period 1,31,38,"{'id': 944, 'name': 'Slovenia'}","{'id': 205932, 'name': 'Vanja Drkušić'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",2ea11fcd-2b20-41e6-8c97-ab5db839fbef
3941020,Portugal,Slovenia,2024-07-01,Round of 16,1,Period 1,36,39,"{'id': 944, 'name': 'Slovenia'}","{'id': 137487, 'name': 'Žan Karničnik'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3941020,Portugal,Slovenia,2024-07-01,Round of 16,3,Period 3 (Extra Time 1st Half),100,1,"{'id': 944, 'name': 'Slovenia'}","{'id': 11416, 'name': 'Jon Gorenc Stankovič'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",7a7ee7e5-51cc-45e6-a319-03e641ede2fa
3941020,Portugal,Slovenia,2024-07-01,Round of 16,4,Period 4 (Extra Time 2nd Half),105,32,"{'id': 944, 'name': 'Slovenia'}","{'id': 16047, 'name': 'Jaka Bijol'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",dbe58638-79a4-4476-9acb-9375ba0ff986
3941020,Portugal,Slovenia,2024-07-01,Round of 16,4,Period 4 (Extra Time 2nd Half),106,37,"{'id': 944, 'name': 'Slovenia'}","{'id': 30940, 'name': 'Jure Balkovec'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",384e2e5f-add4-433f-9017-098d7574e292
3941020,Portugal,Slovenia,2024-07-01,Round of 16,4,Period 4 (Extra Time 2nd Half),106,52,"{'id': 780, 'name': 'Portugal'}","{'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941019,France,Belgium,2024-07-01,Round of 16,1,Period 1,13,59,"{'id': 771, 'name': 'France'}","{'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941019,France,Belgium,2024-07-01,Round of 16,1,Period 1,22,36,"{'id': 771, 'name': 'France'}","{'id': 5487, 'name': 'Antoine Griezmann'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",e0b9dbae-16e4-4aba-8b7d-8bef822abf08
3941019,France,Belgium,2024-07-01,Round of 16,1,Period 1,23,48,"{'id': 771, 'name': 'France'}","{'id': 3026, 'name': 'Adrien Rabiot'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",31e7d924-0156-4988-8a2a-c1f8b895f820
3941019,France,Belgium,2024-07-01,Round of 16,2,Period 2,75,45,"{'id': 782, 'name': 'Belgium'}","{'id': 3077, 'name': 'Jan Vertonghen'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941019,France,Belgium,2024-07-01,Round of 16,2,Period 2,92,42,"{'id': 782, 'name': 'Belgium'}","{'id': 8950, 'name': 'Orel Mangala'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",e66bd145-54fa-4ede-af62-701c8b0cdace
3941018,Spain,Georgia,2024-06-30,Round of 16,1,Period 1,43,20,"{'id': 772, 'name': 'Spain'}","{'id': 3477, 'name': 'Álvaro Borja Morata Martín'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",e08715da-6149-4775-b6b6-039d5cbd65cf
