match_id,team,opponent,stage,period,avg_consecutive_events,max_consecutive_events,total_possessions,turnovers,turnover_rate,match_date
3930178,Croatia,Italy,Group Stage,2,9.67123287671233,113,73,19,0.2602739726027397,2024-06-24
3930178,Italy,Croatia,Group Stage,2,15.549295774647888,71,71,20,0.28169014084507044,2024-06-24
3930176,Switzerland,Germany,Group Stage,1,9.246575342465754,62,73,24,0.3287671232876712,2024-06-23
3930176,Germany,Switzerland,Group Stage,1,19.205882352941178,96,68,24,0.35294117647058826,2024-06-23
3930176,Switzerland,Germany,Group Stage,2,9.23076923076923,52,78,27,0.34615384615384615,2024-06-23
3930176,Germany,Switzerland,Group Stage,2,13.460526315789474,64,76,27,0.35526315789473684,2024-06-23
3930175,Belgium,Romania,Group Stage,1,13.73076923076923,94,78,25,0.32051282051282054,2024-06-22
3930175,Romania,Belgium,Group Stage,1,8.181818181818182,46,77,25,0.3246753246753247,2024-06-22
3930175,Belgium,Romania,Group Stage,2,7.528735632183908,54,87,28,0.3218390804597701,2024-06-22
3930175,Romania,Belgium,Group Stage,2,9.701149425287356,45,87,28,0.3218390804597701,2024-06-22
3930174,Turkey,Portugal,Group Stage,1,10.267605633802816,57,71,25,0.352112676056338,2024-06-22
3930174,Portugal,Turkey,Group Stage,1,14.069444444444445,78,72,24,0.3333333333333333,2024-06-22
3930174,Turkey,Portugal,Group Stage,2,12.773333333333333,74,75,28,0.37333333333333335,2024-06-22
3930174,Portugal,Turkey,Group Stage,2,13.24390243902439,172,82,29,0.35365853658536583,2024-06-22
3930170,Slovenia,Serbia,Group Stage,1,12.45945945945946,135,74,24,0.32432432432432434,2024-06-20
3930170,Serbia,Slovenia,Group Stage,1,14.366197183098592,104,71,24,0.3380281690140845,2024-06-20
3930170,Slovenia,Serbia,Group Stage,2,8.897058823529411,83,68,20,0.29411764705882354,2024-06-20
3930170,Serbia,Slovenia,Group Stage,2,16.20967741935484,89,62,20,0.3225806451612903,2024-06-20
3930169,Scotland,Switzerland,Group Stage,1,9.831325301204819,96,83,31,0.37349397590361444,2024-06-19
3930169,Switzerland,Scotland,Group Stage,1,10.756410256410257,78,78,30,0.38461538461538464,2024-06-19
3930169,Scotland,Switzerland,Group Stage,2,8.21951219512195,64,82,25,0.3048780487804878,2024-06-19
3930169,Switzerland,Scotland,Group Stage,2,9.364705882352942,45,85,26,0.3058823529411765,2024-06-19
3930166,Portugal,Czech Republic,Group Stage,1,20.41176470588235,105,68,27,0.39705882352941174,2024-06-18
3930166,Czech Republic,Portugal,Group Stage,1,8.705882352941176,53,68,26,0.38235294117647056,2024-06-18
3930166,Portugal,Czech Republic,Group Stage,2,13.592592592592593,75,81,23,0.2839506172839506,2024-06-18
3930166,Czech Republic,Portugal,Group Stage,2,6.766233766233766,28,77,23,0.2987012987012987,2024-06-18
3930163,Serbia,England,Group Stage,1,15.913793103448276,79,58,23,0.39655172413793105,2024-06-16
3930163,England,Serbia,Group Stage,1,18.6,137,60,23,0.38333333333333336,2024-06-16
3930163,Serbia,England,Group Stage,2,13.391304347826088,89,69,24,0.34782608695652173,2024-06-16
3930163,England,Serbia,Group Stage,2,13.291666666666666,101,72,23,0.3194444444444444,2024-06-16
3930162,Slovenia,Denmark,Group Stage,1,11.163934426229508,62,61,21,0.3442622950819672,2024-06-16
3930162,Denmark,Slovenia,Group Stage,1,20.85,106,60,20,0.3333333333333333,2024-06-16
3930162,Slovenia,Denmark,Group Stage,2,8.364864864864865,60,74,23,0.3108108108108108,2024-06-16
3930162,Denmark,Slovenia,Group Stage,2,12.945945945945946,61,74,23,0.3108108108108108,2024-06-16
3930160,Spain,Croatia,Group Stage,1,10.894736842105264,104,76,25,0.32894736842105265,2024-06-15
3930160,Croatia,Spain,Group Stage,1,13.819444444444445,76,72,24,0.3333333333333333,2024-06-15
